lang	config	crfCValue	crfTemplate	featConfidence	featGroups	featStd	featTypes	halfWindowSize	learnMethod	minConfidence	minFreq	nMostFreq	normalizeContexts	onlyMean	refCorpus	simMeasure	windowIncludeWordsINexpr	windowMultipleOccurrencesPosition	level	evalType	perf
CS	00	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	P	0.57178
CS	00	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	R	0.5164
CS	00	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	F	0.54266
CS	00	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	P	0.83028
CS	00	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	R	0.61868
CS	00	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	F	0.709
CS	01	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	P	0.79274
CS	01	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	R	0.59736
CS	01	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	F	0.68124
CS	01	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	P	0.86902
CS	01	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	R	0.62106
CS	01	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	F	0.72436
CS	02	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	P	0.75888
CS	02	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	R	0.57964
CS	02	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	MWE	F	0.65722
CS	02	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	P	0.86244
CS	02	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	R	0.61338
CS	02	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu:lemma	cosineIDF	1	1	Token	F	0.71688
CS	03	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	P	0.80026
CS	03	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	R	0.60454
CS	03	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	MWE	F	0.68874
CS	03	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	P	0.87386
CS	03	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	R	0.62724
CS	03	10.0	dep14.template	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	europarl-v7.generic.tok	cosineIDF	1	1	Token	F	0.73026
CS	04	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	P	0.5813
CS	04	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	R	0.53842
CS	04	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	MWE	F	0.55902
CS	04	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	P	0.82878
CS	04	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	R	0.6337
CS	04	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	NONE	cosineIDF	1	1	Token	F	0.71822
CS	05	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	P	0.79738
CS	05	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	R	0.6161
CS	05	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	MWE	F	0.6951
CS	05	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	P	0.86802
CS	05	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	R	0.63654
CS	05	10.0	dep14_template_ic2	1	111	1111	11	2	M5P-M4	0.05	3	50	1	0	vmwe17.conllu	cosineIDF	1	1	Token	F	0.73444
